City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,port saint john's,-31.6229,29.5448,64.36,68,67,9.17,ZA,1699827919
297,mil'kovo,55.6078,37.7956,45.41,89,100,13.0,RU,1699827906
298,mabaruma,8.2,-59.7833,77.5,87,98,4.47,GY,1699828254
299,faya-largeau,17.9257,19.1043,80.55,19,6,13.71,TD,1699827904
300,chilecito,-29.1619,-67.4974,71.31,36,1,23.55,AR,1699828254
301,mushie,-3.0167,16.9,70.97,98,100,1.7,CD,1699828254
302,westport,41.1415,-73.3579,42.21,61,0,4.61,US,1699827916
303,broken hill,-31.95,141.4333,64.54,33,43,11.23,AU,1699827903
304,saint-joseph,-21.3667,55.6167,68.38,82,35,6.26,RE,1699827900
305,aoulef,26.9667,1.0833,74.08,26,2,10.83,DZ,1699828254
306,bandundu,-3.3167,17.3667,70.38,95,99,1.92,CD,1699827909
307,belmonte,-15.8631,-38.8828,76.86,77,4,8.25,BR,1699828254
308,chela,34.069,104.4619,28.92,84,6,1.48,CN,1699828255
309,chodziez,52.995,16.9198,41.02,92,100,5.93,PL,1699828255
310,nikolayevsk-on-amure,53.1406,140.73,17.83,91,88,10.04,RU,1699827676
311,haiku-pauwela,20.9219,-156.3051,82.42,60,20,25.32,US,1699827899
312,port elizabeth,-33.918,25.5701,59.29,79,0,4.61,ZA,1699827901
313,colonia,50.9333,6.95,44.74,87,75,4.61,DE,1699828255
314,enewetak,11.3474,162.3373,81.73,83,100,21.88,MH,1699827920
315,touros,-5.1989,-35.4608,78.17,76,0,13.58,BR,1699827940
316,contai,21.7786,87.7536,68.18,69,3,7.76,IN,1699828255
317,lata,40.1629,-8.3327,63.81,97,76,4.9,PT,1699828255
318,alta,69.9689,23.2717,22.26,68,0,2.3,NO,1699828255
319,al mijlad,11.0333,27.7333,87.22,42,49,4.32,SD,1699828255
320,tshabong,-26.05,22.45,73.72,13,0,9.13,BW,1699828255
321,hastings,50.8552,0.5729,53.78,89,97,15.77,GB,1699828255
322,ceeldheer,3.8488,47.1806,79.86,84,100,8.21,SO,1699827921
323,pisco,-13.7,-76.2167,71.65,78,0,20.71,PE,1699827916
324,luderitz,-26.6481,15.1594,64.56,59,0,20.74,NA,1699827911
325,chester,40.1254,-75.8749,41.92,67,0,1.01,US,1699828016
326,kingston,17.997,-76.7936,88.75,72,20,18.41,JM,1699827653
327,salym,60.0625,71.4789,32.49,83,97,8.95,RU,1699828256
